tau,gamma
0.000316532,2.41E-34
0.000320856,1.22E-33
0.000325241,6.08E-33
0.000329685,2.97E-32
0.000334189,1.42E-31
0.000338755,6.67E-31
0.000343384,3.08E-30
0.000348076,1.39E-29
0.000352832,6.17E-29
0.000357653,2.68E-28
0.00036254,1.14E-27
0.000367493,4.79E-27
0.000372515,1.97E-26
0.000377605,7.92E-26
0.000382764,3.13E-25
0.000387994,1.21E-24
0.000393295,4.61E-24
0.000398669,1.72E-23
0.000404116,6.28E-23
0.000409638,2.25E-22
0.000415235,7.93E-22
0.000420909,2.74E-21
0.00042666,9.27E-21
0.00043249,3.08E-20
0.000438399,1.00E-19
0.000444389,3.21E-19
0.000450461,1.01E-18
0.000456616,3.09E-18
0.000462855,9.33E-18
0.000469179,2.76E-17
0.00047559,8.02E-17
0.000482088,2.28E-16
0.000488676,6.37E-16
0.000495353,1.75E-15
0.000502121,4.69E-15
0.000508982,1.24E-14
0.000515936,3.20E-14
0.000522986,8.12E-14
0.000530132,2.02E-13
0.000537375,4.93E-13
0.000544718,1.18E-12
0.000552161,2.77E-12
0.000559705,6.39E-12
0.000567353,1.44E-11
0.000575105,3.20E-11
0.000582963,6.97E-11
0.000590928,1.49E-10
0.000599002,3.11E-10
0.000607187,6.39E-10
0.000615483,1.29E-09
0.000623893,2.54E-09
0.000632418,4.93E-09
0.000641059,9.37E-09
0.000649818,1.75E-08
0.000658697,3.20E-08
0.000667697,5.74E-08
0.00067682,1.01E-07
0.000686068,1.75E-07
0.000695442,2.96E-07
0.000704945,4.93E-07
0.000714577,8.05E-07
0.00072434,1.29E-06
0.000734237,2.03E-06
0.00074427,3.13E-06
0.000754439,4.75E-06
0.000764748,7.06E-06
0.000775197,1.03E-05
0.000785789,1.48E-05
0.000796526,2.08E-05
0.000807409,2.88E-05
0.000818441,3.92E-05
0.000829624,5.24E-05
0.00084096,6.88E-05
0.00085245,8.89E-05
0.000864098,0.000113016
0.000875905,0.000141456
0.000887873,0.000174378
0.000900004,0.000211838
0.000912301,0.000253762
0.000924767,0.000299956
0.000937402,0.000350121
0.000950211,0.000403877
0.000963194,0.000460798
0.000976355,0.000520444
0.000989695,0.000582399
0.001003218,0.000646294
0.001016926,0.000711832
0.001030821,0.000778796
0.001044905,0.000847046
0.001059183,0.000916515
0.001073655,0.00098719
0.001088325,0.001059086
0.001103195,0.001132231
0.001118269,0.001206635
0.001133549,0.001282278
0.001149037,0.001359095
0.001164737,0.001436968
0.001180652,0.001515732
0.001196784,0.001595183
0.001213136,0.001675091
0.001229712,0.001755217
0.001246514,0.001835329
0.001263546,0.001915216
0.001280811,0.001994695
0.001298311,0.002073615
0.001316051,0.002151851
0.001334033,0.002229301
0.001352261,0.002305874
0.001370737,0.002381478
0.001389467,0.002456018
0.001408452,0.002529385
0.001427696,0.002601457
0.001447204,0.002672094
0.001466978,0.002741145
0.001487022,0.002808451
0.00150734,0.002873854
0.001527936,0.002937205
0.001548813,0.002998371
0.001569976,0.003057244
0.001591427,0.003113748
0.001613172,0.00316784
0.001635214,0.003219508
0.001657557,0.003268772
0.001680205,0.003315674
0.001703163,0.003360274
0.001726434,0.003402644
0.001750023,0.003442856
0.001773935,0.003480979
0.001798173,0.003517071
0.001822743,0.003551165
0.001847648,0.003583267
0.001872894,0.003613343
0.001898484,0.003641323
0.001924425,0.003667094
0.001950719,0.003690513
0.001977373,0.003711417
0.002004391,0.00372964
0.002031778,0.003745032
0.00205954,0.003757478
0.002087681,0.003766917
0.002116206,0.003773346
0.002145121,0.003776834
0.002174431,0.003777519
0.002204142,0.003775599
0.002234258,0.003771315
0.002264786,0.003764939
0.002295732,0.003756744
0.0023271,0.003746979
0.002358896,0.003735851
0.002391127,0.003723507
0.002423799,0.003710019
0.002456917,0.003695394
0.002490487,0.003679572
0.002524516,0.003662448
0.00255901,0.003643892
0.002593976,0.003623762
0.002629419,0.003601932
0.002665346,0.003578295
0.002701764,0.003552781
0.00273868,0.003525356
0.002776101,0.003496024
0.002814032,0.003464824
0.002852482,0.003431826
0.002891457,0.003397122
0.002930965,0.00336082
0.002971013,0.003323039
0.003011608,0.003283903
0.003052757,0.003243533
0.003094469,0.003202049
0.003136751,0.003159568
0.00317961,0.003116203
0.003223055,0.003072065
0.003267094,0.003027259
0.003311734,0.002981891
0.003356984,0.002936059
0.003402853,0.002889858
0.003449348,0.002843376
0.003496479,0.002796696
0.003544253,0.002749896
0.003592681,0.002703047
0.00364177,0.002656219
0.00369153,0.002609472
0.003741969,0.002562862
0.003793098,0.002516436
0.003844926,0.002470234
0.003897461,0.002424286
0.003950715,0.002378613
0.004004696,0.002333234
0.004059415,0.002288162
0.004114881,0.002243412
0.004171105,0.002198997
0.004228098,0.002154934
0.004285869,0.002111238
0.004344429,0.002067927
0.00440379,0.00202502
0.004463962,0.001982538
0.004524956,0.001940503
0.004586783,0.001898944
0.004649455,0.001857892
0.004712983,0.001817383
0.00477738,0.001777458
0.004842656,0.001738161
0.004908825,0.001699537
0.004975897,0.001661631
0.005043886,0.001624486
0.005112803,0.00158814
0.005182663,0.001552621
0.005253477,0.001517949
0.005325258,0.001484128
0.005398021,0.001451148
0.005471777,0.001418983
0.005546542,0.001387595
0.005622328,0.001356934
0.005699149,0.001326947
0.00577702,0.001297583
0.005855955,0.001268801
0.005935969,0.001240574
0.006017076,0.001212891
